0 0.0194175 0 0.0635593 6
0.0194175 0.0614887 0 0.0254237 13
0.0614887 0.12945 0 0.0614407 21
0.12945 0.184466 0 0.0699153 17
0.184466 0.291262 0 0.0635593 33
0.291262 0.391586 0 0.0635593 31
0.391586 0.407767 0 0.0254237 5
0.407767 0.449838 0 0.0762712 13
0.449838 0.491909 0 0.0762712 13
0.491909 0.546926 0 0.0381356 17
0.546926 0.621359 0 0.0466102 23
0.621359 0.644013 0 0.0211864 7
0 0.038835 0.125 0.133475 12
0.038835 0.0582524 0.125 0.133475 6
0.0582524 0.0970874 0.125 0.188559 12
0.0970874 0.158576 0.125 0.184322 19
0.158576 0.197411 0.125 0.184322 12
0.197411 0.262136 0.125 0.184322 20
0.262136 0.317152 0.125 0.184322 17
0.317152 0.381877 0.125 0.184322 20
0.381877 0.436893 0.125 0.184322 17
0.436893 0.498382 0.125 0.184322 19
0.498382 0.559871 0.125 0.184322 19
0.559871 0.614887 0.125 0.184322 17
0 0.0614887 0.25 0.309322 19
0.0614887 0.0809061 0.25 0.294492 6
0.0809061 0.106796 0.25 0.307203 8
0.106796 0.18123 0.25 0.294492 23
0.18123 0.255663 0.25 0.269068 23
0.255663 0.330097 0.25 0.294492 23
0.330097 0.381877 0.25 0.313559 16
0.381877 0.501618 0.25 0.332627 37
0.501618 0.598706 0.25 0.311441 30
0.598706 0.682848 0.25 0.309322 26
0.682848 0.76699 0.25 0.313559 26
0.76699 0.860841 0.25 0.309322 29
0 0.0809061 0.375 0.434322 25
0.0809061 0.152104 0.375 0.434322 22
0.152104 0.245955 0.375 0.438559 29
0.245955 0.343042 0.375 0.434322 30
0.343042 0.381877 0.375 0.434322 12
0.381877 0.436893 0.375 0.436441 17
0.436893 0.537217 0.375 0.434322 31
0.537217 0.618123 0.375 0.434322 25
0.618123 0.737864 0.375 0.434322 37
0.737864 0.838188 0.375 0.436441 31
0.838188 0.928803 0.375 0.438559 28
0.928803 1 0.375 0.434322 22
0 0.0906149 0.5 0.57839 28
0.0906149 0.184466 0.5 0.559322 29
0.184466 0.249191 0.5 0.563559 20
0.249191 0.326861 0.5 0.559322 24
0.326861 0.423948 0.5 0.561441 30
0.423948 0.521036 0.5 0.561441 30
0.521036 0.650485 0.5 0.561441 40
0.650485 0.747573 0.5 0.559322 30
0.747573 0.84466 0.5 0.559322 30
0.84466 0.925566 0.5 0.559322 25
0.925566 0.957929 0.5 0.576271 10
0.957929 0.996764 0.5 0.563559 12
0 0.0323625 0.625 0.701271 10
0.0323625 0.0938511 0.625 0.65678 19
0.0938511 0.168285 0.625 0.629237 23
0.168285 0.194175 0.625 0.639831 8
0.194175 0.252427 0.625 0.669492 18
0.252427 0.320388 0.625 0.688559 21
0.320388 0.375405 0.625 0.669492 17
0.375405 0.443366 0.625 0.688559 21
0.443366 0.498382 0.625 0.669492 17
0.498382 0.556634 0.625 0.686441 18
0.556634 0.621359 0.625 0.686441 20
0.621359 0.68932 0.625 0.686441 21
0 0.0323625 0.75 0.811441 10
0.0323625 0.0744337 0.75 0.830508 13
0.0744337 0.145631 0.75 0.811441 22
0.145631 0.177994 0.75 0.811441 10
0.177994 0.28479 0.75 0.792373 33
0.28479 0.352751 0.75 0.792373 21
0.352751 0.414239 0.75 0.794492 19
0.414239 0.482201 0.75 0.811441 21
0.482201 0.546926 0.75 0.811441 20
0.546926 0.595469 0.75 0.792373 15
0.595469 0.63754 0.75 0.794492 13
0.63754 0.676375 0.75 0.805085 12
0 0.0679612 0.875 0.917373 21
0.0679612 0.135922 0.875 0.917373 21
0.135922 0.23301 0.875 0.917373 30
0.23301 0.300971 0.875 0.915254 21
0.300971 0.368932 0.875 0.934322 21
0.368932 0.427184 0.875 0.915254 18
0.427184 0.469256 0.875 0.951271 13
0.469256 0.475728 0.875 0.955508 2
0.475728 0.517799 0.875 0.951271 13
0.517799 0.592233 0.875 0.887712 23
